Player_X,Player_Y,Opponent_X,Opponent_Y,Score_Situation,Shuttle_Difficulty,Recommended_Shot
6.39,0.34,2.75,2.99,Pressure,Easy,Drop
8.92,1.16,4.22,0.4,Early,Easy,Drop
0.27,2.66,6.5,7.3,Early,Medium,Drop
5.89,10.85,0.06,10.8,Pressure,Medium,Smash
1.55,12.83,3.37,1.24,Early,Medium,Clear
6.04,10.82,7.3,7.19,Mid,Easy,Smash
8.29,8.29,8.62,7.74,Pressure,Easy,Smash
0.46,3.05,2.89,1.07,Early,Easy,Drop
4.53,11.18,1.63,4.76,Pressure,Medium,Clear
6.84,0.96,6.35,7.16,Early,Easy,Drop
2.7,12.4,6.88,2.94,Mid,Easy,Drop
2.29,0.43,3.15,3.59,Early,Hard,Clear
3.15,8.78,3.96,12.25,Mid,Easy,Drop
1.4,9.98,5.39,10.01,Mid,Hard,Clear
3.99,2.94,9.98,6.83,Early,Easy,Drop
1.53,2.14,6.8,7.99,Mid,Medium,Drop
5.96,6.27,2.51,7.41,Early,Hard,Clear
6.82,7.2,2.67,8.59,Early,Medium,Clear
1.58,0.04,7.22,9.64,Pressure,Easy,Drop
1.06,8.38,8.42,6.8,Early,Easy,Drop
7.63,7.23,7.79,7.11,Early,Hard,Clear
0.19,12.45,8.79,11.14,Mid,Easy,Smash
0.58,11.77,9.47,1.15,Mid,Easy,Drop
9.78,7.14,1.26,8.84,Pressure,Easy,Smash
2.65,11.69,4.23,2.84,Pressure,Hard,Clear
6.9,9.55,3.99,9.0,Mid,Medium,Clear
4.51,3.32,0.64,0.28,Pressure,Easy,Drop
0.07,9.49,0.59,0.9,Early,Medium,Drop
5.14,3.73,4.85,7.23,Pressure,Hard,Clear
5.76,3.26,4.73,5.45,Early,Easy,Drop
3.54,5.51,8.64,0.73,Pressure,Hard,Drop
4.03,4.55,8.62,3.33,Early,Hard,Clear
4.22,3.73,2.5,12.37,Mid,Hard,Smash
0.51,13.39,8.36,12.98,Early,Easy,Smash
4.06,6.45,8.65,12.09,Early,Medium,Drop
9.85,3.55,7.84,6.1,Mid,Hard,Clear
9.95,7.45,7.18,2.07,Mid,Easy,Drop
9.69,7.76,5.42,10.02,Early,Easy,Clear
4.77,12.32,5.31,0.76,Pressure,Easy,Smash
8.51,0.92,0.68,11.55,Mid,Easy,Drop
5.7,7.76,0.4,1.1,Pressure,Hard,Clear
3.16,3.49,6.7,4.21,Mid,Medium,Drop
1.31,8.65,4.57,12.45,Early,Easy,Drop
6.21,7.54,1.0,7.2,Pressure,Medium,Smash
9.33,11.8,8.79,4.95,Early,Medium,Clear
6.12,13.23,6.54,0.1,Pressure,Medium,Drop
9.32,1.39,8.78,3.54,Early,Hard,Clear
1.55,3.78,2.11,4.59,Pressure,Hard,Clear
8.53,6.77,2.51,12.17,Early,Easy,Clear
4.24,3.71,0.04,10.33,Pressure,Medium,Drop
1.62,5.92,7.06,7.52,Early,Easy,Clear
9.04,7.31,8.35,7.81,Early,Medium,Drop
0.42,4.89,9.33,13.03,Early,Medium,Drop
6.82,8.94,3.54,7.5,Mid,Hard,Clear
9.26,3.17,1.63,10.72,Early,Medium,Drop
0.25,9.87,3.32,12.47,Pressure,Hard,Clear
8.11,3.58,7.87,1.45,Early,Medium,Drop
2.22,10.94,4.6,4.09,Early,Easy,Clear
1.93,4.4,8.64,12.96,Mid,Medium,Clear
5.09,9.11,8.44,4.44,Early,Easy,Drop
1.79,12.9,2.65,1.45,Mid,Medium,Drop
7.29,4.2,6.06,6.85,Mid,Hard,Drop
0.44,5.84,5.2,10.81,Pressure,Hard,Clear
7.37,2.64,4.31,12.71,Mid,Hard,Drop
6.63,1.67,9.0,6.8,Pressure,Medium,Drop
3.26,9.34,5.54,2.57,Pressure,Medium,Drop
6.77,12.1,6.16,4.03,Pressure,Easy,Smash
2.1,10.53,6.07,4.32,Mid,Medium,Clear
5.11,10.64,9.6,9.86,Pressure,Easy,Smash
2.84,8.9,6.19,1.25,Early,Hard,Clear
8.07,1.97,0.46,13.18,Pressure,Easy,Drop
8.86,7.71,7.18,5.15,Mid,Easy,Smash
6.56,0.07,7.51,10.32,Early,Medium,Drop
2.19,10.78,6.96,6.22,Pressure,Easy,Smash
1.21,1.79,4.65,7.12,Pressure,Hard,Clear
3.17,10.12,4.43,10.92,Pressure,Medium,Clear
5.48,12.02,7.44,6.36,Mid,Easy,Smash
2.77,10.42,4.85,3.21,Mid,Easy,Drop
7.14,3.14,3.36,11.97,Early,Easy,Smash
3.83,2.05,2.14,5.56,Mid,Hard,Drop
4.16,2.77,4.2,12.12,Pressure,Hard,Clear
0.2,11.8,5.76,6.39,Mid,Medium,Clear
8.53,12.78,4.19,10.02,Pressure,Hard,Clear
8.98,6.54,2.73,6.51,Mid,Medium,Clear
6.79,5.42,1.65,6.26,Early,Hard,Clear
9.07,7.93,6.63,1.12,Mid,Easy,Drop
8.67,2.44,2.6,4.39,Mid,Medium,Drop
3.38,11.79,2.78,12.75,Mid,Medium,Clear
4.7,10.04,0.52,12.76,Early,Hard,Clear
0.69,12.83,0.4,0.42,Early,Easy,Drop
8.39,8.33,2.39,6.35,Early,Hard,Clear
4.65,3.43,3.69,8.12,Pressure,Hard,Clear
1.15,10.98,9.65,1.45,Early,Medium,Clear
3.97,9.58,0.76,9.25,Pressure,Easy,Clear
7.72,11.39,6.0,1.62,Pressure,Easy,Smash
