Player_X,Player_Y,Opponent_X,Opponent_Y,Score_Situation,Shuttle_Difficulty,Recommended_Shot
6.25,0.81,2.98,3.27,Pressure,Easy,Drop
7.17,7.26,5.81,0.89,Early,Easy,Drop
5.05,0.83,2.29,8.56,Pressure,Medium,Drop
4.54,3.95,8.32,9.91,Early,Medium,Drop
3.56,2.43,9.11,4.67,Early,Medium,Drop
3.73,4.77,2.88,1.04,Mid,Medium,Drop
9.26,5.19,5.47,10.78,Pressure,Hard,Clear
2.23,1.36,6.45,10.09,Early,Hard,Drop
3.92,6.12,8.01,2.52,Mid,Easy,Drop
2.9,12.11,6.33,8.05,Early,Medium,Clear
4.66,3.85,8.83,9.03,Early,Medium,Drop
8.09,10.12,2.56,0.9,Mid,Medium,Clear
8.72,7.53,6.96,3.14,Mid,Medium,Drop
8.73,6.19,2.88,3.56,Pressure,Medium,Clear
7.22,5.81,5.75,4.99,Early,Medium,Smash
0.92,1.86,6.15,10.32,Mid,Medium,Drop
3.96,7.89,4.71,3.62,Pressure,Hard,Clear
6.99,8.95,5.33,3.81,Pressure,Easy,Drop
3.14,2.46,0.53,9.45,Pressure,Easy,Drop
5.01,2.72,8.71,11.29,Mid,Hard,Clear
2.29,5.14,1.95,12.32,Pressure,Hard,Clear
4.9,1.89,3.77,12.72,Mid,Easy,Drop
2.67,7.54,1.21,9.58,Early,Hard,Clear
1.63,8.68,9.02,2.55,Pressure,Hard,Clear
2.41,7.19,7.07,2.99,Mid,Medium,Drop
6.55,5.13,8.6,6.1,Early,Easy,Drop
5.79,3.35,2.48,1.38,Pressure,Easy,Drop
1.11,0.89,3.47,6.88,Mid,Medium,Drop
2.43,2.14,8.92,7.58,Mid,Easy,Drop
4.76,5.55,1.35,8.67,Mid,Medium,Drop
7.06,8.85,9.36,1.72,Mid,Medium,Drop
7.71,1.85,2.22,7.15,Early,Medium,Drop
3.01,3.6,8.81,5.99,Pressure,Easy,Drop
6.37,7.2,0.63,1.66,Early,Easy,Drop
4.87,3.15,4.11,1.23,Mid,Easy,Drop
4.01,11.99,7.57,4.04,Pressure,Hard,Drop
5.5,9.41,1.89,4.18,Early,Medium,Clear
7.23,1.21,5.76,6.74,Pressure,Easy,Drop
9.15,1.49,2.17,7.88,Pressure,Hard,Clear
8.97,7.56,5.71,0.99,Early,Medium,Drop
5.75,6.98,8.91,3.03,Pressure,Easy,Drop
2.89,2.12,6.31,6.17,Early,Easy,Drop
6.09,7.48,1.4,7.17,Pressure,Easy,Smash
